Both Price And Arrival for APMC Guduvancheri(Uzhavar Sandhai ) from 14-Sep-2014 To 14-Sep-2024 Total Arrival- 23.78,,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Date,NP,Price
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,4000,5000,02-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.39,4000,5000,10-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,3500,4000,13-Aug-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,3500,4000,31-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,3500,4800,07-Aug-24,4150,41.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,01-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,09-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,10-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,12-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,18-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,22-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,05-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,09-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,11-Aug-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,16-Aug-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,17-Aug-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,5000,6000,28-Aug-24,5500,55
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.41,3500,4000,11-Sep-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.41,3500,4000,23-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,3500,4000,17-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,4000,4500,20-Jul-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,4000,4500,27-Jul-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,4000,5000,12-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,4000,5000,13-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.43,4000,4500,24-Jul-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,02-Aug-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,26-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,29-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,30-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4500,19-Jul-24,4000,40
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,4500,18-Jul-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,01-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,03-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,07-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,08-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.46,3500,4000,16-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.46,4000,5000,14-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,3500,4000,04-Aug-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,3500,4000,05-Aug-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,4000,4500,06-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,4000,5000,22-Jul-24,4500,45
